Module,Module Number,Relationship,First Object Name,First Image Number,First Object Number,Second Object Name,Second Image Number,Second Object Number
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,8,IdentifyPrimaryObjects,2,9
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,10,IdentifyPrimaryObjects,2,12
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,15,IdentifyPrimaryObjects,2,15
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,28,IdentifyPrimaryObjects,2,29
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,29,IdentifyPrimaryObjects,2,27
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,29,IdentifyPrimaryObjects,2,28
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,31,IdentifyPrimaryObjects,2,31
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,32,IdentifyPrimaryObjects,2,30
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,32,IdentifyPrimaryObjects,2,31
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,33,IdentifyPrimaryObjects,2,31
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,34,IdentifyPrimaryObjects,2,31
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,35,IdentifyPrimaryObjects,2,34
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,36,IdentifyPrimaryObjects,2,33
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,2,IdentifyPrimaryObjects,1,3
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,3,IdentifyPrimaryObjects,1,2
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,9,IdentifyPrimaryObjects,1,11
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,11,IdentifyPrimaryObjects,1,9
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,13,IdentifyPrimaryObjects,1,14
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,13,IdentifyPrimaryObjects,1,16
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,14,IdentifyPrimaryObjects,1,13
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,14,IdentifyPrimaryObjects,1,15
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,15,IdentifyPrimaryObjects,1,14
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,15,IdentifyPrimaryObjects,1,16
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,16,IdentifyPrimaryObjects,1,13
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,16,IdentifyPrimaryObjects,1,15
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,18,IdentifyPrimaryObjects,1,19
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,19,IdentifyPrimaryObjects,1,18
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,20,IdentifyPrimaryObjects,1,21
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,21,IdentifyPrimaryObjects,1,20
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,23,IdentifyPrimaryObjects,1,24
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,24,IdentifyPrimaryObjects,1,23
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,28,IdentifyPrimaryObjects,1,30
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,30,IdentifyPrimaryObjects,1,28
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,31,IdentifyPrimaryObjects,1,32
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,31,IdentifyPrimaryObjects,1,33
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,32,IdentifyPrimaryObjects,1,31
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,32,IdentifyPrimaryObjects,1,34
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,33,IdentifyPrimaryObjects,1,31
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,33,IdentifyPrimaryObjects,1,34
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,34,IdentifyPrimaryObjects,1,32
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,1,34,IdentifyPrimaryObjects,1,33
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,2,8,IdentifyPrimaryObjects,2,10
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,2,10,IdentifyPrimaryObjects,2,8
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,2,13,IdentifyPrimaryObjects,2,15
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,2,15,IdentifyPrimaryObjects,2,13
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,2,18,IdentifyPrimaryObjects,2,19
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,2,19,IdentifyPrimaryObjects,2,18
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,2,21,IdentifyPrimaryObjects,2,22
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,2,22,IdentifyPrimaryObjects,2,21
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,2,27,IdentifyPrimaryObjects,2,28
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,2,28,IdentifyPrimaryObjects,2,27
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,2,30,IdentifyPrimaryObjects,2,31
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,2,31,IdentifyPrimaryObjects,2,30
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,2,32,IdentifyPrimaryObjects,2,34
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,2,34,IdentifyPrimaryObjects,2,32
